0	0	0	0	0	0
1	1	1	1	0	0
2	2	2	2	0	0
3	3	3	3	0	0
4	4	4	4	1	0
5	5	0	5	0	0
6	6	0	5	0	0
7	7	0	5	0	0
8	8	5	6	0	0
9	9	6	7	2	0
10	10	0	5	0	0
11	11	7	6	0	0
12	12	8	8	0	0
13	13	0	9	0	0
14	14	9	10	0	0
15	15	8	11	0	0
16	16	0	12	0	0
17	17	0	9	0	0
18	18	10	13	0	0
19	19	11	14	3	1
20	20	12	15	0	0
21	21	8	9	0	0
22	22	13	16	0	0
23	23	8	17	0	0
24	24	0	18	0	0
25	22	0	16	0	0
26	25	0	19	0	0
27	26	14	20	0	0
28	27	15	9	0	0
29	28	0	21	0	0
30	29	0	21	0	0
31	30	0	21	0	0
32	31	6	22	0	0
33	32	0	23	0	0
34	33	16	24	4	0
35	34	8	25	0	0
36	35	0	26	0	0
37	36	8	0	0	0
38	37	0	21	0	0
39	38	17	27	0	0
40	39	18	28	0	0
41	40	19	24	5	0
42	41	20	29	0	0
43	42	0	30	0	0
44	43	8	31	0	0
45	44	0	23	0	0
46	45	21	32	0	0
47	46	8	11	0	0
48	47	8	33	0	0
49	48	8	8	0	0
50	49	22	6	0	0
51	50	8	34	0	0
52	51	8	35	0	0
53	52	0	21	0	0
54	53	8	35	0	0
55	54	8	36	0	0
56	55	8	37	0	0
57	56	23	38	0	0
58	57	8	8	0	0
59	58	24	39	0	0
60	59	0	21	0	0
61	60	0	21	0	0
62	61	25	6	0	0
63	62	11	40	3	2
64	63	26	41	6	0
65	64	27	42	0	0
66	65	11	14	3	3
67	66	6	39	0	0
68	67	27	28	0	0
69	68	0	43	0	0
70	69	28	39	0	0
71	70	0	21	0	0
72	71	0	21	0	0
73	72	0	16	0	0
74	73	29	39	0	0
75	74	30	39	0	0
76	75	18	44	0	0
77	76	8	8	0	0
78	77	31	32	0	0
79	78	0	32	0	0
80	79	8	45	0	0
81	80	0	46	0	0
82	81	25	39	0	0
83	82	0	32	0	0
84	83	8	47	0	0
85	84	0	21	0	0
86	85	6	48	0	0
87	86	0	49	0	0
88	87	8	50	0	0
89	88	32	51	0	0
90	89	32	8	0	0
91	90	33	52	0	0
92	91	32	53	0	0
93	92	34	54	0	0
94	93	18	55	0	0
95	94	35	54	0	0
96	95	7	56	0	0
97	57	0	8	0	0
98	96	0	57	0	0
99	97	6	22	0	0
100	98	8	8	0	0
101	99	36	43	0	0
102	100	4	58	7	0
103	101	0	59	0	0
104	102	8	8	0	0
105	103	32	53	0	0
106	104	0	57	0	0
107	105	8	11	0	0
108	106	21	57	0	0
109	107	8	60	0	0
110	108	37	9	0	0
111	109	32	43	0	0
112	110	21	9	0	0
113	111	18	61	0	0
114	112	0	62	0	0
115	113	6	63	0	0
