0	47	6195	754
1	17	8001	1475
2	14	9486	1743
3	13	2854	1475
4	17	1859	924
5	17	3754	754
6	20	10784	1743
7	36	3916	1035
8	16	8199	944
9	21	2940	1217
10	20	319	431
11	35	7512	772
12	48	9505	431
13	15	1318	754
14	18	4066	1035
15	15	3916	1803
16	47	319	1035
17	21	6508	754
18	37	7634	1181
19	38	3973	1475
20	8	184	1417
21	17	9497	1264
22	17	1859	924
23	37	2313	1509
24	14	3916	1803
25	17	7591	944
26	47	319	431
27	14	319	1763
28	8	9505	892
29	20	6816	1509
30	48	3044	1475
31	20	5880	659
32	41	1831	1475
33	18	9617	947
34	16	8199	1105
35	18	4066	1035
36	21	319	431
37	17	6195	754
38	48	3044	1475
39	47	3044	1475
40	48	3044	1475
41	48	319	567
42	14	9505	896
43	36	3916	1035
44	55	7969	256
45	15	9871	754
46	14	319	1035
47	48	2844	1509
48	47	2887	602
49	16	319	431
50	8	2329	1736
51	20	3916	1803
52	47	2248	496
53	21	7963	1035
54	17	3044	1475
55	48	8199	211
56	48	9505	1743
57	15	3044	1475
58	14	799	100
59	40	5947	944
60	12	6794	963
61	35	10003	431
62	18	10631	1066
63	20	9505	739
64	35	5474	1475
65	40	5947	1711
66	35	327	1181
67	21	1582	1475
68	21	8013	828
69	20	5140	754
70	15	1859	924
71	37	1431	944
72	37	1435	132
73	16	7567	1049
74	15	3105	1475
75	21	3044	1475
76	40	5947	1411
77	17	6448	1035
78	14	407	877
79	38	7634	1181
80	43	7635	1331
81	21	7846	1337
82	51	10384	1424
83	4	1428	754
84	8	6195	1035
85	21	1859	877
86	9	8262	1509
87	19	2329	1736
88	21	3683	1337
89	15	1497	1736
90	17	1859	754
91	20	10334	1327
92	47	6195	754
93	18	9617	947
94	17	7969	961
95	21	5880	659
96	47	7512	1277
97	16	9505	431
98	8	9617	947
99	38	3884	764
100	19	4066	1035
101	0	0	0
102	6	3933	1475
103	16	8199	1105
104	19	950	1331
105	20	3799	1509
106	19	1336	944
107	20	5607	754
108	19	9505	833
109	14	94	567
110	14	6460	924
111	21	10784	1743
112	18	7195	1331
113	15	5212	1509
114	13	2826	754
115	35	5947	944
116	20	2280	1374
117	14	10241	1475
118	20	5336	1456
119	21	2280	1374
120	18	3436	1014
121	15	6460	431
122	14	3938	1350
123	21	2630	1792
124	21	10330	985
125	15	2711	924
126	15	2908	754
127	14	4408	1763
128	21	9111	659
129	8	4111	1192
130	18	4416	1475
131	14	3754	754
132	0	9210	139
133	36	3993	1475
134	37	327	896
135	16	319	1035
136	21	1963	1035
137	21	5880	659
138	15	930	1261
139	19	682	44
140	21	1708	781
141	38	6770	1509
142	15	1112	1475
143	47	8199	518
144	15	319	1763
145	15	4784	1296
146	14	1134	708
147	35	5947	1411
148	16	8199	944
149	48	7512	772
150	36	6398	1509
