1	1	0	10	2460
2	0	6	16	305
3	0	2	15	1650
4	0	4	7	936
5	0	2	20	1428
6	1	5	9	1650
7	0	3	1	1156
8	0	2	12	596
9	0	2	17	1072
10	1	3	1	1879
11	1	2	1	3046
12	0	2	12	1846
13	0	4	1	2089
14	0	3	0	2145
15	0	2	7	1123
16	1	3	0	3179
17	0	5	1	753
18	1	1	3	2696
19	0	0	10	1528
20	0	2	14	1511
21	0	1	16	1907
22	0	1	15	1804
23	0	3	0	605
24	1	2	7	3148
25	0	1	4	701
26	0	2	7	2300
27	0	2	11	2793
28	1	2	1	2546
29	0	3	7	2378
30	1	3	7	2902
31	0	6	7	1619
32	1	2	0	1648
33	0	4	3	1992
34	1	1	0	743
35	0	4	1	29
36	0	2	3	1046
37	1	2	9	530
38	1	1	4	2509
39	0	1	4	30
40	0	4	0	2413
41	1	1	4	2386
42	0	2	8	2637
43	0	2	12	2663
44	0	4	17	1190
45	1	4	16	2436
46	0	1	19	834
47	0	1	4	1498
48	0	2	4	101
49	0	1	12	1516
50	1	2	2	3051
51	1	0	10	1335
52	0	1	4	592
53	0	2	0	2169
54	0	5	1	867
55	1	3	12	217
56	0	3	20	931
57	0	1	19	2388
58	0	2	2	587
59	1	5	1	357
60	0	5	1	987
61	0	2	17	3182
62	1	3	3	1958
63	0	1	4	1675
64	0	1	1	1804
65	0	3	12	1089
66	0	2	18	2748
67	1	5	5	3047
68	0	1	4	1804
69	1	2	1	3387
70	0	1	4	460
71	0	2	14	1625
72	1	4	0	2045
73	0	1	4	1804
74	0	3	14	1153
75	1	0	10	2104
76	0	3	7	357
77	0	1	4	1966
78	1	4	1	1349
79	1	4	0	2924
80	0	6	1	1244
81	1	2	0	407
82	0	2	17	2554
83	1	2	2	684
84	0	1	4	2961
85	0	1	4	1869
86	1	0	10	344
87	0	2	14	1938
88	1	4	1	1073
89	1	6	9	633
90	0	6	13	633
91	0	3	7	531
92	1	1	4	2714
93	0	2	17	2696
94	0	2	17	980
95	0	4	0	2201
96	1	2	16	541
97	1	3	3	2760
98	1	3	7	1191
99	1	0	10	630
100	0	3	17	2903
101	1	1	3	1707
102	0	3	19	800
103	0	4	7	1102
104	0	2	12	1613
105	0	4	12	1118
106	1	3	11	1155
107	0	4	18	3082
108	0	2	12	1023
109	0	4	15	3169
110	0	2	2	2010
111	0	3	15	2711
112	0	2	16	1263
113	0	1	12	841
114	1	2	2	1459
115	0	2	17	1491
116	0	2	17	2325
117	0	2	17	1707
118	0	3	17	1033
119	1	0	10	321
120	0	2	11	384
121	0	3	7	1644
122	1	1	4	1498
123	0	3	9	80
124	0	6	7	2319
125	0	4	14	459
126	0	1	9	2545
127	1	4	3	313
128	0	6	6	733
129	0	2	11	697
130	0	3	17	1182
131	0	1	4	1180
132	0	2	17	1261
133	1	2	0	3218
134	0	2	0	530
135	0	1	4	919
136	0	1	2	481
137	1	4	6	1926
138	0	1	20	2236
139	1	2	20	2523
140	1	3	1	2759
141	0	3	13	1997
142	0	2	7	1099
143	0	1	3	1286
144	0	2	17	1344
145	0	1	4	643
146	1	3	20	3340
147	0	1	4	661
148	0	5	17	268
149	0	2	1	2557
150	0	3	7	2053
151	1	2	20	3122
152	0	1	4	1595
153	0	0	10	1760
154	0	5	20	1153
155	0	3	12	419
156	1	4	7	3300
157	0	3	16	214
158	0	6	7	2038
159	1	4	0	733
160	0	3	7	2427
161	0	4	16	3382
162	1	1	4	3392
163	0	1	4	3122
164	1	6	13	1828
165	0	1	16	766
166	0	1	4	1634
167	1	2	11	3336
168	1	5	0	1157
169	0	2	7	2139
170	0	2	11	1230
171	1	5	17	446
172	0	2	3	1218
173	0	2	0	1499
174	0	2	16	1003
175	1	2	2	2971
176	1	1	3	2831
177	0	5	1	1242
178	0	6	17	959
179	0	2	0	743
180	0	4	12	228
181	0	1	17	2756
182	0	1	4	3095
183	1	4	1	641
184	1	2	0	1083
185	0	4	0	2507
186	0	1	5	2933
187	1	4	1	2564
188	0	6	16	654
189	0	1	0	1458
190	0	2	17	1784
191	0	1	4	1643
192	0	1	1	864
193	1	4	15	2298
194	1	0	10	1601
195	0	2	12	2800
196	1	3	9	989
197	0	1	14	3148
198	0	2	12	1305
199	0	1	4	2708
200	1	1	4	2227
201	1	3	2	1650
202	0	1	4	1804
203	1	1	4	2572
